2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.686774 Table team_repo Column id db default is nextval('team_repo_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.688745 Table notice Column id db default is nextval('notice_id_seq'::regclass), struct default is 
2021/08/06 17:26:02 [xorm] [warn]  2021/08/06 17:26:02.690848 Table email_address Column id db default is nextval('email_address_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.792955 Table user Column id db default is nextval('user_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.793647 Table user Column max_repo_creation db default is '-1'::integer, struct default is -1
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.799945 Table public_key Column id db default is nextval('public_key_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.807710 Table two_factor Column id db default is nextval('two_factor_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.814325 Table two_factor_recovery_code Column id db default is nextval('two_factor_recovery_code_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.823337 Table repository Column id db default is nextval('repository_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.833271 Table deploy_key Column id db default is nextval('deploy_key_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.835858 Table collaboration Column id db default is nextval('collaboration_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.838549 Table upload Column id db default is nextval('upload_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.841037 Table watch Column id db default is nextval('watch_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.843614 Table star Column id db default is nextval('star_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.848325 Table follow Column id db default is nextval('follow_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.851501 Table action Column id db default is nextval('action_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.858598 Table issue Column id db default is nextval('issue_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.862692 Table pull_request Column id db default is nextval('pull_request_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.865544 Table comment Column id db default is nextval('comment_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.868194 Table attachment Column id db default is nextval('attachment_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.870987 Table issue_user Column id db default is nextval('issue_user_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.873456 Table label Column id db default is nextval('label_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.875676 Table issue_label Column id db default is nextval('issue_label_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.879111 Table milestone Column id db default is nextval('milestone_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.882240 Table mirror Column id db default is nextval('mirror_id_seq'::regclass), struct default is 
2021/08/06 17:26:49 [xorm] [warn]  2021/08/06 17:26:49.885865 Table release Column id db default is nextval('release_id_seq'::regclass), struct default is 
